year,co2,ch4,n2o
1888,293.8,852,278.925
1889,294,854,279
1890,294.175,856,279.1
1891,294.325,858.25,279.2
1892,294.475,860.75,279.3
1893,294.6,863,279.375
1894,294.7,865,279.425
1895,294.8,867.25,279.475
1896,294.9,869.75,279.525
1897,295.025,872,279.6
1898,295.225,874.25,279.675
1899,295.5,876.75,279.725
1900,295.8,879.5,279.8
1901,296.125,883,279.9
1902,296.475,887,280
1903,296.825,891.25,280.1
1904,297.2,895.75,280.2
1905,297.625,900.25,280.3
1906,298.075,904.75,280.4
1907,298.5,909.25,280.525
1908,298.9,914,280.675
1909,299.3,919,280.825
1910,299.7,923.75,280.975
1911,300.075,928.25,281.125
1912,300.425,933,281.3
1913,300.775,938.25,281.475
1914,301.1,943.75,281.625
1915,301.4,949.25,281.8
1916,301.725,954.75,282
1917,302.075,960.25,282.225
1918,302.4,966,282.475
1919,302.7,972,282.7
1920,303.025,977.75,282.925
1921,303.4,983.25,283.175
1922,303.775,989,283.4
1923,304.125,995,283.6
1924,304.525,1001,283.8
1925,304.975,1007,284
1926,305.4,1013,284.225
1927,305.825,1019,284.45
1928,306.3,1025,284.625
1929,306.775,1030.75,284.8
1930,307.225,1036.25,284.975
1931,307.7,1041.75,285.125
1932,308.175,1047.25,285.3
1933,308.6,1052.75,285.5
1934,309,1058,285.7
1935,309.4,1063,285.9
1936,309.75,1068,286.1
1937,310,1073,286.275
1938,310.175,1078,286.425
1939,310.3,1083,286.575
1940,310.375,1088.25,286.725
1941,310.375,1093.75,286.9
1942,310.3,1099,287.1
1943,310.2,1104,287.3
1944,310.125,1109.25,287.525
1945,310.1,1114.75,287.775
1946,310.125,1120.5,288.025
1947,310.2,1126.75,288.275
1948,310.325,1133.25,288.525
1949,310.5,1140,288.775
1950,310.75,1147.25,289
1951,311.1,1155,289.2
1952,311.5,1163.5,289.425
1953,311.925,1172.75,289.675
1954,312.425,1182.25,289.9
1955,313,1192,290.125
1956,313.6,1202.25,290.375
1957,314.225,1213,290.6
1958,314.8475,1224,290.825
1959,315.5,1235.25,291.1
1960,316.2725,1247,291.4
1961,317.075,1259.25,291.675
1962,317.795,1272,291.925
1963,318.3975,1285,292.225
1964,318.925,1298.25,292.6
1965,319.6475,1312,293
1966,320.6475,1326,293.4
1967,321.605,1340.25,293.8
1968,322.635,1355,294.225
1969,323.9025,1370.25,294.7
1970,324.985,1385.75,295.2
1971,325.855,1401.25,295.7
1972,327.14,1417,296.225
1973,328.6775,1433,296.8
1974,329.7425,1449,297.4
1975,330.585,1465,298
1976,331.7475,1481,298.65
1977,333.2725,1497.25,299.36
1978,334.8475,1513.75,300.0825
1979,336.525,1530.25,300.74
1980,338.36,1547.75,301.3825
1981,339.7275,1566.75,302.22
1982,340.7925,1586.25,303.0975
1983,342.1975,1605.845,303.805
1984,343.7825,1623.705,304.3975
1985,345.2825,1637.9925,305.0875
1986,346.7975,1650.435,305.7725
1987,348.645,1662.2,306.2625
1988,350.7375,1673.07,307.195
1989,352.4875,1683.47,308.5075
1990,353.855,1693.63,309.485
1991,355.0175,1703.8175,310.1125
1992,355.885,1711.8,310.6025
1993,356.7775,1716.29,311.0775
1994,358.1275,1721.0125,311.6025
1995,359.8375,1726.35,312.295
1996,361.4625,1730.01,313.0475
1997,363.155,1734.8175,313.76
1998,365.3225,1742.71,314.5325
1999,367.3475,1749.2425,315.2575
2000,368.865,1751.0225,315.85
2001,370.4675,1750.7075,316.4875
2002,372.5225,1752.1875,317.245
2003,374.76,1754.76,318.0175
2004,376.8125,1755.065,318.71
2005,378.8125,1753.735,319.44
2006,380.8275,1754.518,320.19967
2007,382.7775,1757.3923,320.896
2008,384.8,1760.8159,321.60665
2009,386.93455,1764.6961,322.33188
2010,389.0715,1768.688,323.07147
2011,391.1665,1772.7889,323.82554
2012,393.24066,1776.5604,324.58119
2013,395.29786,1779.589,325.32519
2014,397.34576,1781.9675,326.05742
2015,399.38717,1783.7889,326.77777
2016,401.41789,1785.1042,327.48616
2017,403.43127,1785.9337,328.18265
2018,405.42513,1786.3038,328.86735
2019,407.40083,1786.2466,329.54034
2020,409.36026,1785.7913,330.20175
2021,411.29764,1784.8938,330.85166
2022,413.21903,1784.0299,331.50208
2023,415.14445,1783.7309,332.165
2024,417.08292,1783.9868,332.8405
2025,419.03635,1784.7856,333.52868
2026,421.0038,1786.1234,334.22958
2027,422.97812,1787.962,334.94313
2028,424.95028,1790.2392,335.66923
2029,426.91631,1792.9056,336.40777
2030,428.87629,1795.9236,337.15862
2031,430.832,1799.2652,337.92168
2032,432.80746,1802.8629,338.69708
2033,434.83148,1806.6744,339.48491
2034,436.91619,1810.7279,340.28509
2035,439.06785,1815.0411,341.09749
2036,441.28581,1819.6281,341.92201
2037,443.5672,1824.5089,342.75853
2038,445.90288,1829.6668,343.60696
2039,448.28176,1835.0584,344.46717
2040,450.69811,1840.6512,345.33907
2041,453.15021,1846.4199,346.22254
2042,455.64509,1852.2293,347.11642
2043,458.18181,1857.8862,348.01955
2044,460.76247,1863.3519,348.93183
2045,463.4053,1868.6891,349.85315
2046,466.11968,1873.9458,350.78342
2047,468.90757,1879.1637,351.72255
2048,471.76784,1884.3884,352.67046
2049,474.69236,1889.6253,353.62706
2050,477.67043,1894.8503,354.59228
2051,480.69694,1900.0515,355.56603
2052,483.77696,1905.1561,356.5484
2053,486.9156,1910.0946,357.53947
2054,490.1025,1914.7978,358.53915
2055,493.33845,1919.2299,359.54737
2056,496.64173,1923.4614,360.56406
2057,500.02229,1927.5478,361.58913
2058,503.48287,1931.5374,362.62251
2059,507.02296,1935.4819,363.66412
2060,510.63443,1939.3909,364.71388
2061,514.30531,1943.2357,365.77172
2062,518.02671,1946.8312,366.83596
2063,521.79702,1950.0245,367.90494
2064,525.61935,1952.8408,368.97857
2065,529.48604,1955.2248,370.0568
2066,533.3998,1957.1532,371.13954
2067,537.38147,1958.7112,372.22675
2068,541.44308,1959.9683,373.3184
2069,545.58888,1960.9853,374.41443
2070,549.81989,1961.8258,375.5148
2071,554.12904,1962.513,376.61948
2072,558.48622,1962.7267,377.7249
2073,562.86724,1962.1778,378.82751
2074,567.27205,1960.9213,379.92726
2075,571.70141,1959.009,381.02411
2076,576.14574,1956.4107,382.11805
2077,580.6064,1953.1269,383.20909
2078,585.10462,1949.2658,384.29725
2079,589.65317,1944.9187,385.38255
2080,594.25683,1940.1657,386.46501
2081,598.9179,1935.0913,387.54467
2082,603.53811,1928.8518,388.61807
2083,608.01988,1920.6397,389.68177
2084,612.36372,1910.607,390.73579
2085,616.57173,1898.9044,391.78016
2086,620.64773,1885.672,392.81493
2087,624.58304,1870.9642,393.84015
2088,628.38085,1854.8591,394.85592
2089,632.06458,1837.5335,395.86233
2090,635.64876,1819.1421,396.85944
2091,639.14086,1799.8223,397.84736
2092,642.59729,1780.4823,398.82526
2093,646.06094,1761.9161,399.79231
2094,649.51513,1744.0436,400.7486
2095,652.95074,1726.7981,401.69422
2096,656.36419,1710.1269,402.62925
2097,659.75421,1693.9822,403.55377
2098,663.10742,1678.4056,404.46789
2099,666.42313,1663.5277,405.3717
2100,669.72317,1649.3962,406.26529
2101,673.02173,1635.9676,407.14875
2102,676.29128,1623.6001,408.01621
2103,679.50127,1612.6146,408.8618
2104,682.64541,1602.8609,409.68561
2105,685.71141,1594.1808,410.48773
2106,688.69282,1586.4401,411.26828
2107,691.58868,1579.5283,412.02744
2108,694.39983,1573.3479,412.76539
2109,697.11406,1567.7503,413.48233
2110,699.73157,1562.6256,414.17845
2111,702.27614,1557.9631,414.85394
2112,704.7639,1553.7475,415.50899
2113,707.20265,1549.9613,416.14379
2114,709.5953,1546.5942,416.75851
2115,711.93394,1543.6061,417.35336
2116,714.20507,1540.9361,417.9285
2117,716.40081,1538.5363,418.48413
2118,718.51915,1536.372,419.02041
2119,720.56005,1534.4132,419.53753
2120,722.51007,1532.5724,420.03565
2121,724.36814,1530.7932,420.51497
2122,726.15805,1529.1105,420.97564
2123,727.8964,1527.5501,421.41784
2124,729.59084,1526.1311,421.84175
2125,731.24405,1524.8756,422.24751
2126,732.84773,1523.7724,422.63532
2127,734.38928,1522.7867,423.00532
2128,735.86182,1521.8936,423.35768
2129,737.26278,1521.0786,423.69257
2130,738.59171,1520.3297,424.01013
2131,739.83434,1519.5757,424.31055
2132,740.98904,1518.7746,424.59396
2133,742.0798,1517.9732,424.86053
2134,743.1235,1517.2085,425.11041
2135,744.12799,1516.509,425.34375
2136,745.09601,1515.9053,425.56071
2137,746.01899,1515.394,425.76144
2138,746.88224,1514.9471,425.94609
2139,747.67691,1514.5455,426.1148
2140,748.40031,1514.1802,426.26773
2141,749.05184,1513.844,426.40501
2142,749.6169,1513.4702,426.52679
2143,750.09334,1513.0204,426.63322
2144,750.50572,1512.545,426.72443
2145,750.87141,1512.0835,426.80057
2146,751.19813,1511.6673,426.86177
2147,751.4889,1511.3289,426.90817
2148,751.73512,1511.0669,426.93991
2149,751.92185,1510.8551,426.95712
2150,751.99877,1510.7589,426.96211
2151,751.99877,1510.7589,426.96211
2152,751.99877,1510.7589,426.96211
2153,751.99877,1510.7589,426.96211
2154,751.99877,1510.7589,426.96211
2155,751.99877,1510.7589,426.96211
2156,751.99877,1510.7589,426.96211
2157,751.99877,1510.7589,426.96211
2158,751.99877,1510.7589,426.96211
2159,751.99877,1510.7589,426.96211
2160,751.99877,1510.7589,426.96211
2161,751.99877,1510.7589,426.96211
2162,751.99877,1510.7589,426.96211
2163,751.99877,1510.7589,426.96211
2164,751.99877,1510.7589,426.96211
2165,751.99877,1510.7589,426.96211
2166,751.99877,1510.7589,426.96211
2167,751.99877,1510.7589,426.96211
2168,751.99877,1510.7589,426.96211
2169,751.99877,1510.7589,426.96211
2170,751.99877,1510.7589,426.96211
2171,751.99877,1510.7589,426.96211
2172,751.99877,1510.7589,426.96211
2173,751.99877,1510.7589,426.96211
2174,751.99877,1510.7589,426.96211
2175,751.99877,1510.7589,426.96211
2176,751.99877,1510.7589,426.96211
2177,751.99877,1510.7589,426.96211
2178,751.99877,1510.7589,426.96211
2179,751.99877,1510.7589,426.96211
2180,751.99877,1510.7589,426.96211
2181,751.99877,1510.7589,426.96211
2182,751.99877,1510.7589,426.96211
2183,751.99877,1510.7589,426.96211
2184,751.99877,1510.7589,426.96211
2185,751.99877,1510.7589,426.96211
2186,751.99877,1510.7589,426.96211
2187,751.99877,1510.7589,426.96211
2188,751.99877,1510.7589,426.96211
2189,751.99877,1510.7589,426.96211
2190,751.99877,1510.7589,426.96211
2191,751.99877,1510.7589,426.96211
2192,751.99877,1510.7589,426.96211
2193,751.99877,1510.7589,426.96211
2194,751.99877,1510.7589,426.96211
2195,751.99877,1510.7589,426.96211
2196,751.99877,1510.7589,426.96211
2197,751.99877,1510.7589,426.96211
2198,751.99877,1510.7589,426.96211
2199,751.99877,1510.7589,426.96211
2200,751.99877,1510.7589,426.96211
