year,co2,ch4,n2o
1888,293.8,852,278.925
1889,294,854,279
1890,294.175,856,279.1
1891,294.325,858.25,279.2
1892,294.475,860.75,279.3
1893,294.6,863,279.375
1894,294.7,865,279.425
1895,294.8,867.25,279.475
1896,294.9,869.75,279.525
1897,295.025,872,279.6
1898,295.225,874.25,279.675
1899,295.5,876.75,279.725
1900,295.8,879.5,279.8
1901,296.125,883,279.9
1902,296.475,887,280
1903,296.825,891.25,280.1
1904,297.2,895.75,280.2
1905,297.625,900.25,280.3
1906,298.075,904.75,280.4
1907,298.5,909.25,280.525
1908,298.9,914,280.675
1909,299.3,919,280.825
1910,299.7,923.75,280.975
1911,300.075,928.25,281.125
1912,300.425,933,281.3
1913,300.775,938.25,281.475
1914,301.1,943.75,281.625
1915,301.4,949.25,281.8
1916,301.725,954.75,282
1917,302.075,960.25,282.225
1918,302.4,966,282.475
1919,302.7,972,282.7
1920,303.025,977.75,282.925
1921,303.4,983.25,283.175
1922,303.775,989,283.4
1923,304.125,995,283.6
1924,304.525,1001,283.8
1925,304.975,1007,284
1926,305.4,1013,284.225
1927,305.825,1019,284.45
1928,306.3,1025,284.625
1929,306.775,1030.75,284.8
1930,307.225,1036.25,284.975
1931,307.7,1041.75,285.125
1932,308.175,1047.25,285.3
1933,308.6,1052.75,285.5
1934,309,1058,285.7
1935,309.4,1063,285.9
1936,309.75,1068,286.1
1937,310,1073,286.275
1938,310.175,1078,286.425
1939,310.3,1083,286.575
1940,310.375,1088.25,286.725
1941,310.375,1093.75,286.9
1942,310.3,1099,287.1
1943,310.2,1104,287.3
1944,310.125,1109.25,287.525
1945,310.1,1114.75,287.775
1946,310.125,1120.5,288.025
1947,310.2,1126.75,288.275
1948,310.325,1133.25,288.525
1949,310.5,1140,288.775
1950,310.75,1147.25,289
1951,311.1,1155,289.2
1952,311.5,1163.5,289.425
1953,311.925,1172.75,289.675
1954,312.425,1182.25,289.9
1955,313,1192,290.125
1956,313.6,1202.25,290.375
1957,314.225,1213,290.6
1958,314.8475,1224,290.825
1959,315.5,1235.25,291.1
1960,316.2725,1247,291.4
1961,317.075,1259.25,291.675
1962,317.795,1272,291.925
1963,318.3975,1285,292.225
1964,318.925,1298.25,292.6
1965,319.6475,1312,293
1966,320.6475,1326,293.4
1967,321.605,1340.25,293.8
1968,322.635,1355,294.225
1969,323.9025,1370.25,294.7
1970,324.985,1385.75,295.2
1971,325.855,1401.25,295.7
1972,327.14,1417,296.225
1973,328.6775,1433,296.8
1974,329.7425,1449,297.4
1975,330.585,1465,298
1976,331.7475,1481,298.65
1977,333.2725,1497.25,299.36
1978,334.8475,1513.75,300.0825
1979,336.525,1530.25,300.74
1980,338.36,1547.75,301.3825
1981,339.7275,1566.75,302.22
1982,340.7925,1586.25,303.0975
1983,342.1975,1605.845,303.805
1984,343.7825,1623.705,304.3975
1985,345.2825,1637.9925,305.0875
1986,346.7975,1650.435,305.7725
1987,348.645,1662.2,306.2625
1988,350.7375,1673.07,307.195
1989,352.4875,1683.47,308.5075
1990,353.855,1693.63,309.485
1991,355.0175,1703.8175,310.1125
1992,355.885,1711.8,310.6025
1993,356.7775,1716.29,311.0775
1994,358.1275,1721.0125,311.6025
1995,359.8375,1726.35,312.295
1996,361.4625,1730.01,313.0475
1997,363.155,1734.8175,313.76
1998,365.3225,1742.71,314.5325
1999,367.3475,1749.2425,315.2575
2000,368.865,1751.0225,315.85
2001,370.4675,1750.7075,316.4875
2002,372.5225,1752.1875,317.245
2003,374.76,1754.76,318.0175
2004,376.8125,1755.065,318.71
2005,378.8125,1753.735,319.44
2006,380.8275,1754.5145,320.19967
2007,382.7775,1757.684,320.88885
2008,384.8,1761.9801,321.57802
2009,387.00054,1767.259,322.26735
2010,389.28521,1773.1278,322.95654
2011,391.56252,1779.5403,323.64575
2012,393.84273,1784.5519,324.32716
2013,396.11734,1786.3689,324.99264
2014,398.39568,1785.2863,325.6422
2015,400.68068,1781.5822,326.27584
2016,402.9683,1775.478,326.8936
2017,405.25182,1767.1513,327.49559
2018,407.52882,1756.7736,328.08194
2019,409.80029,1744.5114,328.6528
2020,412.06783,1730.518,329.2083
2021,414.32565,1714.8713,329.74858
2022,416.51662,1698.7239,330.27812
2023,418.60322,1683.3058,330.80136
2024,420.60132,1668.8253,331.31844
2025,422.51575,1655.3673,331.8295
2026,424.34901,1642.8547,332.33463
2027,426.09675,1631.1869,332.83393
2028,427.75232,1620.2505,333.32743
2029,429.31381,1609.952,333.81519
2030,430.78315,1600.2154,334.29728
2031,432.16344,1590.9764,334.77372
2032,433.43618,1582.2005,335.24387
2033,434.59273,1573.8792,335.70704
2034,435.65302,1566.0052,336.16328
2035,436.62804,1558.5643,336.61265
2036,437.52158,1551.5411,337.05519
2037,438.33433,1544.9268,337.49097
2038,439.06015,1538.6838,337.92005
2039,439.69061,1532.7554,338.34248
2040,440.2224,1527.0976,338.75834
2041,440.65666,1521.6802,339.16766
2042,441.02476,1516.0256,339.56219
2043,441.34651,1509.6501,339.93362
2044,441.621,1502.5989,340.28204
2045,441.8644,1494.9915,340.60749
2046,442.08482,1486.9261,340.91009
2047,442.2834,1478.4866,341.19
2048,442.4583,1469.7525,341.44743
2049,442.60091,1460.7653,341.68257
2050,442.70046,1451.5398,341.89562
2051,442.75184,1442.0963,342.0868
2052,442.761,1432.7096,342.26047
2053,442.73417,1423.6218,342.42102
2054,442.66263,1414.7425,342.56863
2055,442.54767,1406.0124,342.7035
2056,442.40642,1397.4536,342.8258
2057,442.24833,1389.0775,342.93565
2058,442.07535,1380.8916,343.03318
2059,441.88625,1372.9066,343.1185
2060,441.67274,1365.1056,343.19171
2061,441.42415,1357.4515,343.25294
2062,441.1345,1350.226,343.30802
2063,440.80284,1343.686,343.36278
2064,440.43041,1337.7504,343.41733
2065,440.01021,1332.2959,343.47178
2066,439.54473,1327.2328,343.52618
2067,439.05222,1322.552,343.58058
2068,438.54291,1318.2378,343.63498
2069,438.01932,1314.2739,343.68937
2070,437.48062,1310.6506,343.74376
2071,436.91878,1307.3332,343.79815
2072,436.34251,1304.2787,343.85097
2073,435.76436,1301.4547,343.90066
2074,435.18189,1298.8309,343.94721
2075,434.595,1296.3806,343.99063
2076,433.99542,1294.0307,344.03093
2077,433.38456,1291.7352,344.06813
2078,432.77961,1289.5217,344.10225
2079,432.18978,1287.4071,344.13333
2080,431.61659,1285.4046,344.16138
2081,431.05847,1283.5306,344.18644
2082,430.51026,1281.7574,344.20828
2083,429.96413,1280.0405,344.22666
2084,429.41411,1278.3635,344.24161
2085,428.85906,1276.7183,344.25316
2086,428.2991,1275.0979,344.26133
2087,427.72652,1273.4472,344.26616
2088,427.14308,1271.7361,344.26767
2089,426.56607,1270.0047,344.26589
2090,426.00472,1268.2816,344.26085
2091,425.46065,1266.59,344.25259
2092,424.93745,1264.9737,344.24087
2093,424.43129,1263.4475,344.22544
2094,423.93083,1261.9864,344.20634
2095,423.43058,1260.5735,344.1836
2096,422.92945,1259.1995,344.15724
2097,422.42761,1257.8565,344.1273
2098,421.91753,1256.489,344.09381
2099,421.40111,1255.0667,344.0568
2100,420.89546,1253.6284,344.0163
2101,420.40998,1252.2028,343.97235
2102,419.94532,1250.8862,343.92683
2103,419.49831,1249.7665,343.88163
2104,419.05981,1248.825,343.83677
2105,418.61902,1248.0275,343.79229
2106,418.17082,1247.3487,343.7482
2107,417.71454,1246.7719,343.70451
2108,417.2507,1246.2824,343.66122
2109,416.77219,1245.8193,343.61832
2110,416.28127,1245.3472,343.57581
2111,415.79518,1244.8996,343.53369
2112,415.32319,1244.4992,343.49195
2113,414.86696,1244.1645,343.45059
2114,414.42496,1243.916,343.40961
2115,413.98893,1243.7483,343.369
2116,413.54867,1243.638,343.32877
2117,413.09942,1243.5696,343.28889
2118,412.64076,1243.5349,343.24938
2119,412.17338,1243.5271,343.21024
2120,411.69045,1243.492,343.17144
2121,411.19435,1243.4003,343.133
2122,410.70228,1243.2907,343.09491
2123,410.22339,1243.1908,343.05717
2124,409.7593,1243.123,343.01977
2125,409.30847,1243.1116,342.98271
2126,408.8627,1243.1545,342.94599
2127,408.41656,1243.2313,342.9096
2128,407.96956,1243.3293,342.87355
2129,407.52073,1243.4426,342.83782
2130,407.07051,1243.5661,342.80242
2131,406.61189,1243.6476,342.76734
2132,406.14707,1243.6595,342.73258
2133,405.69286,1243.6418,342.69813
2134,405.25809,1243.6232,342.664
2135,404.84413,1243.6271,342.63018
2136,404.44922,1243.6789,342.59667
2137,404.06507,1243.7773,342.56346
2138,403.68161,1243.9027,342.53056
2139,403.29415,1244.043,342.49795
2140,402.90226,1244.1931,342.46564
2141,402.50662,1244.3485,342.43363
2142,402.10056,1244.4576,342.4019
2143,401.68653,1244.4933,342.37047
2144,401.28131,1244.4961,342.33932
2145,400.89375,1244.4949,342.30846
2146,400.52523,1244.5137,342.27787
2147,400.17404,1244.5779,342.24757
2148,399.83204,1244.6866,342.21754
2149,399.4893,1244.8204,342.18778
2150,399.14131,1244.9675,342.1583
2151,398.78772,1245.123,342.12908
2152,398.42927,1245.2826,342.10013
2153,398.0595,1245.3949,342.07144
2154,397.68091,1245.4328,342.04301
2155,397.31021,1245.4369,342.01485
2156,396.95616,1245.4364,341.98693
2157,396.62009,1245.4552,341.95928
2158,396.3003,1245.5189,341.93187
2159,395.98871,1245.6266,341.90472
2160,395.67554,1245.7589,341.87781
2161,395.35634,1245.9042,341.85114
2162,395.03085,1246.0576,341.82472
2163,394.69985,1246.2148,341.79854
2164,394.357,1246.3245,341.7726
2165,394.00489,1246.3596,341.74689
2166,393.6601,1246.3609,341.72142
2167,393.33128,1246.3575,341.69618
2168,393.01974,1246.3732,341.67117
2169,392.72374,1246.4337,341.64638
2170,392.43525,1246.5381,341.62183
2171,392.1446,1246.6671,341.59749
2172,391.84744,1246.8091,341.57338
2173,391.54354,1246.9591,341.54949
2174,391.2337,1247.1129,341.52581
2175,390.91172,1247.2192,341.50235
2176,390.58024,1247.251,341.4791
2177,390.25571,1247.249,341.45607
2178,389.94668,1247.2422,341.43324
2179,389.65441,1247.2547,341.41063
2180,389.37713,1247.3119,341.38821
2181,389.10687,1247.4131,341.36601
2182,388.83404,1247.5389,341.344
2183,388.55437,1247.6777,341.3222
2184,388.26765,1247.8245,341.30059
2185,387.97473,1247.9753,341.27918
2186,387.6695,1248.0785,341.25796
2187,387.35465,1248.1073,341.23694
2188,387.04651,1248.1024,341.21611
2189,386.75353,1248.0928,341.19547
2190,386.47692,1248.1024,341.17501
2191,386.21487,1248.1569,341.15475
2192,385.95946,1248.2552,341.13466
2193,385.70118,1248.3783,341.11476
2194,385.43582,1248.5144,341.09504
2195,385.16322,1248.6586,341.0755
2196,384.88424,1248.8068,341.05614
2197,384.59286,1248.9075,341.03696
2198,384.29183,1248.9338,341.01794
2199,383.99735,1248.9265,340.99911
2200,383.71778,1248.9145,340.98044
